frame.number,frame.time_epoch,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,ip.ttl,tcp.flags
"104","1411631022.507145000","76","86.12.80.86","37.187.81.8","41778","22898","54","2"
"105","1411631022.507175000","56","37.187.81.8","86.12.80.86","22898","41778","64","20"
"106","1411631082.533189000","76","86.12.80.86","37.187.81.8","57878","22898","54","2"
"107","1411631082.533223000","56","37.187.81.8","86.12.80.86","22898","57878","64","20"
"108","1411631127.722870000","76","37.187.65.250","37.187.81.8","46364","53","62","2"
"109","1411631127.722922000","76","37.187.81.8","37.187.65.250","53","46364","64","18"
"110","1411631127.723243000","68","37.187.65.250","37.187.81.8","46364","53","62","16"
"111","1411631127.723543000","68","37.187.65.250","37.187.81.8","46364","53","62","20"
"112","1411631127.729903000","76","37.187.65.250","37.187.81.8","33929","443","62","2"
"113","1411631127.729940000","76","37.187.81.8","37.187.65.250","443","33929","64","18"
"114","1411631127.730216000","68","37.187.65.250","37.187.81.8","33929","443","62","16"
"115","1411631127.730530000","68","37.187.65.250","37.187.81.8","33929","443","62","20"
"116","1411631127.747919000","76","37.187.65.250","37.187.81.8","50022","80","62","2"
"117","1411631127.748002000","76","37.187.81.8","37.187.65.250","80","50022","64","18"
"118","1411631127.748295000","68","37.187.65.250","37.187.81.8","50022","80","62","16"
"119","1411631127.748348000","68","37.187.65.250","37.187.81.8","50022","80","62","20"
"120","1411631127.832500000","76","37.187.65.250","37.187.81.8","59637","3389","62","2"
"121","1411631127.832543000","56","37.187.81.8","37.187.65.250","3389","59637","64","20"
"122","1411631127.844664000","76","37.187.65.250","37.187.81.8","51815","22","62","2"
"123","1411631127.844703000","76","37.187.81.8","37.187.65.250","22","51815","64","18"
"124","1411631127.844937000","68","37.187.65.250","37.187.81.8","51815","22","62","16"
"125","1411631127.845099000","68","37.187.65.250","37.187.81.8","51815","22","62","20"
"126","1411631127.845268000","76","37.187.65.250","37.187.81.8","52978","25","62","2"
"127","1411631127.845288000","56","37.187.81.8","37.187.65.250","25","52978","64","20"
"128","1411631142.544669000","76","86.12.80.86","37.187.81.8","40860","22898","54","2"
"129","1411631142.544706000","56","37.187.81.8","86.12.80.86","22898","40860","64","20"
"130","1411631202.561320000","76","86.12.80.86","37.187.81.8","47152","22898","54","2"
"131","1411631202.561345000","56","37.187.81.8","86.12.80.86","22898","47152","64","20"
"132","1411631243.045525000","68","185.31.48.30","37.187.81.8","32398","443","119","2"
"133","1411631243.045574000","68","37.187.81.8","185.31.48.30","443","32398","64","18"
"134","1411631243.080673000","56","185.31.48.30","37.187.81.8","32398","443","119","16"
"135","1411631243.081349000","232","185.31.48.30","37.187.81.8","32398","443","119","24"
"136","1411631243.081377000","56","37.187.81.8","185.31.48.30","443","32398","64","16"
"137","1411631243.096990000","1436","37.187.81.8","185.31.48.30","443","32398","64","16"
"138","1411631243.097063000","852","37.187.81.8","185.31.48.30","443","32398","64","24"
"139","1411631243.132386000","56","185.31.48.30","37.187.81.8","32398","443","119","16"
"140","1411631243.139585000","182","185.31.48.30","37.187.81.8","32398","443","119","24"
"141","1411631243.141079000","330","37.187.81.8","185.31.48.30","443","32398","64","24"
"142","1411631243.375254000","330","37.187.81.8","185.31.48.30","443","32398","64","24"
"143","1411631243.384863000","56","185.31.48.30","37.187.81.8","32398","443","119","16"
"144","1411631243.410247000","68","185.31.48.30","37.187.81.8","32398","443","119","16"
"145","1411631248.261601000","87","185.31.48.30","37.187.81.8","32398","443","119","24"
"146","1411631248.261611000","56","185.31.48.30","37.187.81.8","32398","443","119","17"
"147","1411631248.261872000","87","37.187.81.8","185.31.48.30","443","32398","64","24"
"148","1411631248.261994000","56","37.187.81.8","185.31.48.30","443","32398","64","17"
"149","1411631248.296941000","56","185.31.48.30","37.187.81.8","32398","443","119","20"
"150","1411631262.588148000","76","86.12.80.86","37.187.81.8","40172","22898","54","2"
"151","1411631262.588213000","56","37.187.81.8","86.12.80.86","22898","40172","64","20"
"152","1411631274.201489000","68","185.31.48.30","37.187.81.8","60576","443","119","2"
"153","1411631274.201534000","68","37.187.81.8","185.31.48.30","443","60576","64","18"
"154","1411631274.236820000","56","185.31.48.30","37.187.81.8","60576","443","119","16"
"155","1411631274.237521000","573","185.31.48.30","37.187.81.8","60576","443","119","24"
"156","1411631274.237573000","56","37.187.81.8","185.31.48.30","443","60576","64","16"
"157","1411631274.238495000","200","37.187.81.8","185.31.48.30","443","60576","64","24"
"158","1411631274.273893000","107","185.31.48.30","37.187.81.8","60576","443","119","24"
"159","1411631274.313233000","56","37.187.81.8","185.31.48.30","443","60576","64","16"
"160","1411631274.421323000","490","185.31.48.30","37.187.81.8","60576","443","119","24"
"161","1411631274.421362000","56","37.187.81.8","185.31.48.30","443","60576","64","16"
"162","1411631274.490645000","1436","37.187.81.8","185.31.48.30","443","60576","64","16"
"163","1411631274.490707000","1436","37.187.81.8","185.31.48.30","443","60576","64","16"
"164","1411631274.490782000","1076","37.187.81.8","185.31.48.30","443","60576","64","24"
"165","1411631274.525985000","56","185.31.48.30","37.187.81.8","60576","443","119","16"
"166","1411631274.633493000","533","185.31.48.30","37.187.81.8","60576","443","119","24"
"167","1411631274.633521000","56","37.187.81.8","185.31.48.30","443","60576","64","16"
"168","1411631274.636995000","68","185.31.48.30","37.187.81.8","51714","443","119","2"
"169","1411631274.637033000","68","37.187.81.8","185.31.48.30","443","51714","64","18"
"170","1411631274.639118000","68","185.31.48.30","37.187.81.8","51715","443","119","2"
"171","1411631274.639169000","68","37.187.81.8","185.31.48.30","443","51715","64","18"
"172","1411631274.665194000","1436","37.187.81.8","185.31.48.30","443","60576","64","16"
"173","1411631274.665291000","1436","37.187.81.8","185.31.48.30","443","60576","64","16"
"174","1411631274.665320000","1436","37.187.81.8","185.31.48.30","443","60576","64","16"
"175","1411631274.665341000","1436","37.187.81.8","185.31.48.30","443","60576","64","16"
"176","1411631274.665379000","1436","37.187.81.8","185.31.48.30","443","60576","64","16"
"177","1411631274.665425000","1436","37.187.81.8","185.31.48.30","443","60576","64","16"
"178","1411631274.665448000","281","37.187.81.8","185.31.48.30","443","60576","64","24"
"179","1411631274.665629000","1436","37.187.81.8","185.31.48.30","443","60576","64","16"
"180","1411631274.665676000","1436","37.187.81.8","185.31.48.30","443","60576","64","16"
"181","1411631274.665721000","1436","37.187.81.8","185.31.48.30","443","60576","64","16"
"182","1411631274.672187000","56","185.31.48.30","37.187.81.8","51714","443","119","16"
"183","1411631274.672588000","573","185.31.48.30","37.187.81.8","51714","443","119","24"
"184","1411631274.672609000","56","37.187.81.8","185.31.48.30","443","51714","64","16"
"185","1411631274.673050000","200","37.187.81.8","185.31.48.30","443","51714","64","24"
"186","1411631274.674097000","56","185.31.48.30","37.187.81.8","51715","443","119","16"
"187","1411631274.674599000","573","185.31.48.30","37.187.81.8","51715","443","119","24"
"188","1411631274.674622000","56","37.187.81.8","185.31.48.30","443","51715","64","16"
"189","1411631274.675219000","200","37.187.81.8","185.31.48.30","443","51715","64","24"
"190","1411631274.701026000","56","185.31.48.30","37.187.81.8","60576","443","119","16"
"191","1411631274.701072000","1436","37.187.81.8","185.31.48.30","443","60576","64","24"
"192","1411631274.701031000","56","185.31.48.30","37.187.81.8","60576","443","119","16"
"193","1411631274.701034000","56","185.31.48.30","37.187.81.8","60576","443","119","16"
"194","1411631274.701038000","56","185.31.48.30","37.187.81.8","60576","443","119","16"
"195","1411631274.701147000","56","185.31.48.30","37.187.81.8","60576","443","119","16"
"196","1411631274.701199000","1436","37.187.81.8","185.31.48.30","443","60576","64","16"
"197","1411631274.701236000","370","37.187.81.8","185.31.48.30","443","60576","64","24"
"198","1411631274.711304000","107","185.31.48.30","37.187.81.8","51715","443","119","24"
"199","1411631274.716436000","107","185.31.48.30","37.187.81.8","51714","443","119","24"
"200","1411631274.736384000","56","185.31.48.30","37.187.81.8","60576","443","119","16"
"201","1411631274.736743000","557","185.31.48.30","37.187.81.8","51714","443","119","24"
"202","1411631274.736758000","56","37.187.81.8","185.31.48.30","443","51714","64","16"
"203","1411631274.750858000","56","37.187.81.8","185.31.48.30","443","51715","64","16"
"204","1411631274.767170000","319","37.187.81.8","185.31.48.30","443","51714","64","24"
"205","1411631274.772101000","128","37.187.81.8","185.31.48.30","443","51714","64","24"
"206","1411631274.807065000","56","185.31.48.30","37.187.81.8","51714","443","119","16"
"207","1411631274.936094000","56","185.31.48.30","37.187.81.8","60576","443","119","16"
"208","1411631279.705997000","87","37.187.81.8","185.31.48.30","443","60576","64","24"
"209","1411631279.706199000","56","37.187.81.8","185.31.48.30","443","60576","64","17"
"210","1411631279.722164000","87","185.31.48.30","37.187.81.8","51715","443","119","24"
"211","1411631279.722207000","56","37.187.81.8","185.31.48.30","443","51715","64","16"
"212","1411631279.722228000","56","185.31.48.30","37.187.81.8","51715","443","119","17"
"213","1411631279.722329000","87","37.187.81.8","185.31.48.30","443","51715","64","24"
"214","1411631279.722372000","56","37.187.81.8","185.31.48.30","443","51715","64","17"
"215","1411631279.741036000","56","185.31.48.30","37.187.81.8","60576","443","119","16"
"216","1411631279.741208000","56","185.31.48.30","37.187.81.8","60576","443","119","17"
"217","1411631279.741228000","56","37.187.81.8","185.31.48.30","443","60576","64","16"
"218","1411631279.757264000","56","185.31.48.30","37.187.81.8","51715","443","119","20"
"219","1411631279.777209000","87","37.187.81.8","185.31.48.30","443","51714","64","24"
"220","1411631279.777297000","56","37.187.81.8","185.31.48.30","443","51714","64","17"
"221","1411631279.812205000","56","185.31.48.30","37.187.81.8","51714","443","119","16"
"222","1411631279.812338000","56","185.31.48.30","37.187.81.8","51714","443","119","17"
"223","1411631279.812353000","56","37.187.81.8","185.31.48.30","443","51714","64","16"
"224","1411631282.006799000","68","185.31.48.30","37.187.81.8","21461","443","119","2"
"225","1411631282.006829000","68","37.187.81.8","185.31.48.30","443","21461","64","18"
"226","1411631282.042076000","56","185.31.48.30","37.187.81.8","21461","443","119","16"
"227","1411631282.042894000","573","185.31.48.30","37.187.81.8","21461","443","119","24"
"228","1411631282.042937000","56","37.187.81.8","185.31.48.30","443","21461","64","16"
"229","1411631282.043508000","200","37.187.81.8","185.31.48.30","443","21461","64","24"
"230","1411631282.078769000","107","185.31.48.30","37.187.81.8","21461","443","119","24"
"231","1411631282.079109000","763","185.31.48.30","37.187.81.8","21461","443","119","24"
"232","1411631282.079161000","56","37.187.81.8","185.31.48.30","443","21461","64","16"
"233","1411631282.148785000","1436","37.187.81.8","185.31.48.30","443","21461","64","16"
"234","1411631282.148848000","1436","37.187.81.8","185.31.48.30","443","21461","64","16"
"235","1411631282.148880000","357","37.187.81.8","185.31.48.30","443","21461","64","24"
"236","1411631282.184183000","56","185.31.48.30","37.187.81.8","21461","443","119","16"
"237","1411631282.307221000","589","185.31.48.30","37.187.81.8","21461","443","119","24"
"238","1411631282.308435000","68","185.31.48.30","37.187.81.8","32659","443","119","2"
"239","1411631282.308461000","68","37.187.81.8","185.31.48.30","443","32659","64","18"
"240","1411631282.332941000","1436","37.187.81.8","185.31.48.30","443","21461","64","16"
"241","1411631282.333013000","1436","37.187.81.8","185.31.48.30","443","21461","64","16"
"242","1411631282.333044000","1436","37.187.81.8","185.31.48.30","443","21461","64","16"
"243","1411631282.333120000","1436","37.187.81.8","185.31.48.30","443","21461","64","16"
"244","1411631282.333158000","1436","37.187.81.8","185.31.48.30","443","21461","64","16"
"245","1411631282.333197000","1436","37.187.81.8","185.31.48.30","443","21461","64","16"
"246","1411631282.333257000","281","37.187.81.8","185.31.48.30","443","21461","64","24"
"247","1411631282.333473000","1436","37.187.81.8","185.31.48.30","443","21461","64","16"
"248","1411631282.333519000","1436","37.187.81.8","185.31.48.30","443","21461","64","16"
"249","1411631282.333561000","1436","37.187.81.8","185.31.48.30","443","21461","64","16"
"250","1411631282.343861000","56","185.31.48.30","37.187.81.8","32659","443","119","16"
"251","1411631282.344777000","573","185.31.48.30","37.187.81.8","32659","443","119","24"
"252","1411631282.344810000","56","37.187.81.8","185.31.48.30","443","32659","64","16"
"253","1411631282.345367000","200","37.187.81.8","185.31.48.30","443","32659","64","24"
"254","1411631282.368074000","56","185.31.48.30","37.187.81.8","21461","443","119","16"
"255","1411631282.368122000","1436","37.187.81.8","185.31.48.30","443","21461","64","24"
